Manual order,Kosambi,Mādhavānanda,Gopinath1896-img,Gopinath1914-img,Gopinath-num,SB spardha num,SB spardha text (some hyphens and spaces added),GRETIL,Ryder,Tawney n,Tawney
,,,,,,,,,,123,"  By tortoise, hills, and king of snakes
  Upheld and poised, earth's centre shakes;
  Men of firm faith and constant soul
  Swerve not, while endless ages roll."
,,,,,,,,,,124,"  Does not the tortoise feel the load he bears without complaint?
  Is not the flaming lord of day with ceaseless wandering faint?
  Are not good men though sore distressed ashamed their troth to break?
  Great spirits love to carry through whate'er they undertake."
,,,,,,,,,,125,"  Cymbals to harmonize their tone,
  Must first with flour be fed;
  So he can call all bards his own
  Who fills their mouths with bread."
,,,,,,,,,,126,"  The mean pursue a thousand ways to satisfy their greed,
  But he will ne'er be chief of saints whose gain's his highest meed,
  The Aurva-fire drinks up the sea to still its craving maw,
  The cloud, to cheer a thirsty world, the waves doth upward draw."
,,,,,,,,,,127,"  Hard fate to minister and bard assigned,
  One must new turns and one new taxes find;
  By honeyed language both aspire to climb,
  This slowly builds his power, and that his rhyme;
  A captious public both must toil to please,
  And part unthanked with liberty and ease."
,,,,,,,,,,128,"  Though fortune shower her blessings everywhere,
    But few will reach the poor man's lowly head;
    Though rain-clouds all day long their treasures shed,
  Three drops at most reward the _châtak's_ prayer."
113,,,,,,,,"
                paricaritavyāḥ santo yadyapi kathayanti na sadupadeśam |
                yāstveṣāṃ svairakathāstā eva bhavanti śāstrāṇi ||
            ","
                Hark to the counsel of the good,
                Although irrelevant it looks;
              Their simple talk is richer food
                And wiser than the best of books.            
            ",129,"  A man should reverence the sage,
    Not only when he gives advice,—
  The random words of prudent age,
    If rightly weighed, are pearls of price."
,,,,,,,,,,130,"  The good man, like a bounding ball,
  Springs ever upward from his fall;
  The wicked falls like lump of clay,
  And crumbles into dust away."
114,,,,,,,,"
                yadi nāma daivayogāt jagadasarojaṃ kadācidapi jātam,
                avakaranikaraṃ vikirati tatkiṃ kṛkavākuriva haṃsaḥ ? ||                  
            ","
                NOBILITY

                If fate should ever stay the birth
                  Of every lily on the earth,
                Do you suppose that swans would scratch.
                  Like roosters, in the dunghill patch?                              
            ",131,"  What though by some untoward fate no lotus on the lake be born,
  The swan will ne'er, like barndoor fowl, rake in the dust for grains of corn."
,,,,,,,,,,132,"  The heart of the contented man enjoys perpetual peace,
  The covetous pine with lust of wealth; their cravings never cease;
  Not Meru's peak, of gold entire, can captivate my soul,
  Let him, who likes it, clamber up and carry off the whole."
,,,,,,,,,,133,"  From nature comes the lotus' rosy hue,
  By nature good men others' good pursue,
  And cruel men have cruel ends in view."
,,,,,,,,,,134,"  Truth is the ornament of all mankind,
  Slim elephants delight the keeper's mind,
  Learning and patience are a Brahman's boast,
  Each creature's highest good becomes it most."
,,,,,,,,,,135,"  Better to fall from mountain height,
    And dash thy life out on the plain,
  Better th' envenomed serpent's bite,
    Better the death in fiery pain,
  Than once to swerve from virtue's path,
    Which they who lose ne'er find again."
,,,,,,,,,,136,"  Abandon, fool, thy hope to see
  The brave man dread calamity;
  When the great doom shall earth o'ertake
  Nor seas, nor mighty hills will quake."
,,,,,,,,,,137,"  The moon the lord of healing herbs,
    Whose gleaming horn is Siva's crest,
  Is doomed with dim eclipse to pine ;
    None can avoid grim Fate's behest."
,,,,,,,,,,138,"  A splendid palace, lovely brides, the symbols all of kingly sway,
  Are jewels strung on merit's thread stretching through many a toilsome day;
  As pearls are from a necklace shed, when breaks the bond that held them fast,
  Light they disperse, when merit fails, whirled from us by misfortune's blast."
115,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-180.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-174.jpg,111,,,(śṛṅgāra-śatakam),,,
116,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-181.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-175.jpg,112,,,,,,
117,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-182.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-176.jpg,113,,,"
                śambhu-svayambhu-harayo hariṇekṣaṇānāṃ
                yenākriyanta satataṃ gṛha-kumbha-dāsāḥ |
                vācām agocara-caritra-vicitritāya
                tasmai namo bhagavate makara-dhvajāya || BharSt_2.1 ||
            ",,,
118,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-183.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-177.jpg,114,,,"
                smitena bhāvena ca lajjayā bhiyā
                parāṇmukhair ardha-kaṭākṣa-vīkṣaṇaiḥ |
                vacobhir īrṣyā-kalahena līlayā
                samasta-bhāvaiḥ khalu bandhanaṃ striyaḥ || BharSt_2.2 ||
            ",,,
119,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-184.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-178.jpg,115,,,"
                bhrū-cāturyāt kuṣcitākṣāḥ kaṭākṣāḥ
                snigdhā vāco lajjitāntāś ca hāsāḥ |
                līlā-mandaṃ prasthitaṃ ca sthitaṃ ca
                strīṇām etad bhūṣaṇaṃ cāyudhaṃ ca || BharSt_2.3 ||
            ","
                WOMAN'S WEAPONS

                The skillfully coquettish frown,
                Bashfulness choking laughter down,
                The love-word seeming free from guile,
                The undulating step, the smile—
                These things to every woman true,
                Are ornaments, and weapons too.
            ",,
120,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-185.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-179.jpg,116,,,"
                kvacit sa-bhrū-bhaṅgaiḥ kvacid api ca lajjā-parigataiḥ
                kvacid bhūri-trastaiḥ kvacid api ca līlā-vilalitaiḥ |
                kumārīṇām etair madana-subhagair netra-valitaiḥ
                sphuran-nīlābjānāṃ prakara-parikīrṇā iva diśaḥ || BharSt_2.4 ||
            ","
                WOMEN'S EYES

                The world is full of women's eyes,
                Defiant, filled with shy surprise,
                Demure, a little overfree,
                Or simply sparkling roguishly;
                It seems a gorgeous lily-bed,
                Whichever way I turn my head.
            ",,
121,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-186.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-180.jpg,117,,,"
                vaktraṃ candra-vikāsi paṅkaja-parīhāsa-kṣame locane
                varṇaḥ svarṇam apākariṣṇur alinī-jiṣṇuḥ kacānāṃ cayaḥ |
                bakṣojāv ibha-kumbha-vibhrama-harau gurvī nitamba-sthalī
                vācāṃ hāri ca mārdavaṃ yuvatīṣu svābhāvikaṃ maṇḍanam || BharSt_2.5 ||
            ",,,
122,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-187.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-181.jpg,118,,,,,,
123,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-188.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-182.jpg,119,,,"
                smita-kiñcin-mugdhaṃ sarala-taralo dṛṣṭi-vibhavaḥ
                parispando vācām abhinava-vilāsokti-sarasaḥ |
                gatānām ārambhaḥ kisalayita-līlā-parikaraḥ
                spṛśantyās tāruṇyaṃ kim iva na hi ramyaṃ mṛgadṛśaḥ || BharSt_2.6 ||
            ","
                YOUNG WOMANHOOD

                Half-smiles that brighten on her face,
                  Innocent, roving glances,
                The wealth of budding charms that show
                  In little steps and dances,
              
                The flow of words that shyly prove
                  The sweet, new woman-feeling:
                Yes, all the fawn-eyed maiden does
                  Is wondrously appealing.              
            ",,
124,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-189.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-183.jpg,120,,,"
                draṣṭavyeṣu kim uttamaṃ mṛgadṛśaḥ prema-prasannaṃ mukhaṃ
                ghrātaveṣv api kiṃ tad-āsya-pavanaḥ śravyeṣu kiṃ tad-vacaḥ |
                kiṃ svādyeṣu tad-oṣṭha-pallava-rasaḥ spṛśyeṣu kiṃ tad-vapur
                dhyeyaṃ kiṃ nava-yauvane sahṛdayaiḥ sarvatra tad-vibhramāḥ || BharSt_2.7 ||
            ","
                THE SWEETEST THINGS
                The sweetest sight a man may see
                  Is a maiden's loving face;
                The sweetest thing to touch should be
                  Her body's close embrace;
              
                Her voice should be the sweetest sound;
                  Her breath, the sweetest scent;
                The sweetest taste, the honey found
                  On lips to kisses lent;
              
                The thought of her is fervent prayer,
                  Religion's sweetest part;
                The charm of her is everywhere
                  Unto the pure in heart.
            ",,
125,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-190.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-184.jpg,121,,,"
                etāś calad-valaya-saṃhati-mekhalotthajhaṅkāra-
                nūpura-parājita-rāja-haṃsyaḥ |
                kurvanti kasya na mano vivaśaṃ taruṇyo
                vitrasta-mugdha-hariṇī-sadṛśaiḥ kaṭākṣaiḥ || BharSt_2.8 ||
            ",,,
126,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-191.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-185.jpg,122,,,"
                kuṅkuma-paṅka-kalaṅkita-dehā
                gaura-payodhara-kampita-hārā |
                nūpura-haṃsa-raṇat-padmā
                kaṃ na vaśīkurute bhuvi rāmā || BharSt_2.9 ||
            ",,,
127,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-192.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-186.jpg,123,,,"
                nūnaṃ hi te kavi-varā viparīta-vāco
                ye nityam āhur abalā iti kāminīs tāḥ |
                yābhir vilolitara-tāraka-dṛṣṭi-pātaiḥ
                śakrādayo 'pi vijitās tv abalāḥ kathaṃ tāḥ || BharSt_2.10 ||
            ","
                THE WEAKER SEX

                The classic poets make a great mistake;
                  Forever of the weaker sex they speak;
                When gods are subjugated for the sake
                  Of starry glances, are the women weak?              
            ",,
128,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-193.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-187.jpg,124,,,"
                nūnam ājñā-karas tasyāḥ subhruvo makara-dhvajaḥ |
                yatas tan-netra-sañcāra-sūciteṣu pravartate || BharSt_2.11 ||
            ","
                THE QUEEN OF LOVE

                Surely the love-god is the slave
                  Of her sweet eyes;
                For when they give a hint, the knave
                  Obedient flies.
            ",,
129,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-194.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-188.jpg,125,,,"
                keśāḥ saṃyaminaḥ śruter api paraṃ pāraṃ gate locane
                antar-vaktram api svabhāva-śuci-bhīḥ kīrṇaṃ dvijānāṃ gaṇaiḥ |
                muktānāṃ satatādhivāsa-rucirau vakṣoja-kumbhāv imāvitthaṃ
                tanvi vapuḥ praśāntam api terāgaṃ karoty eva naḥ || BharSt_2.12 ||
            ",,,
130,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-195.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-189.jpg,126,,,,,,
131,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-196.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-190.jpg,127,,,"
                mugdhe dhānuṣkatā keyam apūrvā tvayi dṛśyate |
                yayā vidhyasi cetāṃsi guṇair eva na sāyakaiḥ || BharSt_2.13 ||
            ",,,
132,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-197.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-191.jpg,128,,,"
                sati pradīpe saty agnau satsu tārāravīnduṣu |
                vinā me mṛga-śāvākṣyā tamo-bhūtam idaṃ jagat || BharSt_2.14 ||
            ","
                GENTLE EYES

                Candle, and fire, and star,
                  Sun, moon, to give me light;
                But her dear, gentle eyes are far—
                  This world is night.
            ",,
133,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-198.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-192.jpg,129,,,"
                udvṛttaḥ stana-bhāra eṣa tarale netre cale bhrū-late
                rāgādhiṣṭhitam oṣṭha-pallavam idaṃ kurvantu nāma vyathām |
                saubhāgyākṣara-mālikeva likhitā puṣpāyudhena svayaṃ
                madhyasthāpi karoti tāpam adhikaṃ romāvaliḥ kena sā || BharSt_2.15 ||
            ",,,
134,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-199.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-193.jpg,130,,,"
                guruṇā stana-bhāreṇa mukha-candreṇa bhāsvatā |
                śanaiś-carābhyāṃ pādābhyāṃ reje grahamayīva sā || BharSt_2.17 ||
            ",,,
135,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-200.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-194.jpg,131,,,"
                tasyāḥ stanau yadi ghanau jaghanaṃ ca hāri
                vaktraṃ ca cāru tava citta kim ākulatvam |
                puṇyaṃ kuruṣva yadi teṣu tavāsti vāñchā
                puṇyair vinā na hi bhavanti samīhitārthāḥ || BharSt_2.18 ||
            ","
                ALL THESE THINGS SHALL BE ADDED

                What though she have a bosom sweet,
                  A form to beauty wed,
                A face in which the graces meet-
                  She must not turn your head.
              
                Nay, if her charm your fancy haunts,
                  Then live on virtue's food;
                One cannot have the things he wants
                  Except by being good.
            ",,
136,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-201.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-195.jpg,132,,,"
                mātsaryam utsārya vicārya kāryamāryāḥ
                samaryādam idaṃ vadantu |
                sevyā nitambāḥ kim u bhūdharāṇāmata
                smara-smera-vilāsinīnām || BharSt_2.36 ||
            ",,,
137,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-202.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-196.jpg,133,,,"
                saṃsāre svapna-sāre pariṇati-tarale dve gatī paṇḍitānāṃ
                tattva-jñānāmṛtāmbhaḥ-plava-lalita-dhiyāṃ yātu kālaḥ kathañcit |
                no cen mugdhāṅganānāṃ stana-jaghana-ghanābhoga-sambhoginīnāṃ
                sthūlopastha-sthalīṣu sthagita-karatala-sparśa-līlodyamānām || BharSt_2.37 ||
            ",,,
138,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-203.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-197.jpg,134,,,"
                mukhena candra-kāntena mahānīlaiḥ śiroruhaiḥ |
                karābhyāṃ padmarāgābhyāṃ reje ratnamayīva sā || BharSt_2.16 ||
            ",,,
139,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-204.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-198.jpg,135,,,"
                saṃmohayanti madayanti viḍambayanti
                nirbhartsyanti ramayanti viṣādayanti |
                etāḥ praviśya sadayaṃ hṛdayaṃ narāṇāṃ
                kiṃ nāma vāma-nayanā na samācaranti || BharSt_2.47*1 ||
            ","
                WOMEN'S GLANCES

                What will not women's glances do,
                When man is moved by pity true
                To yield the heart that they pursue?
              
                They fascinate and gladden him,
                Bewilder, mock, and madden him,
                And at the end they sadden him.
            ",,
140,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-205.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-199.jpg,136,,,"
                viśramya viśramya vana-drumāṇāṃ
                chāyāsu tanvī vicacāra kācit |
                stanottarīyeṇa karoddhṛtena
                nivārayantī śaśino mayūkhān || BharSt_2.21 ||
            ","
                Graceful amid the forest shade
                Wandered a weary, weary maid;
                Alone, by moonbeams sore opprest,
                Lifting the garment from her breast.              
            ",,
141,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-206.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-200.jpg,137,,,"
                adarśane darśana-mātra-kāmā
                dṛṣṭvā pariṣvaṅga-sukhaika-lolā |
                āliṅgitāyāṃ punar āyatākṣyāmāśāsmahe
                vigrahayor abhedam || BharSt_2.22 ||
            ","
                LOVE GROWS BY WHAT IT FEEDS ON

                When she is far, I only want to see see her;
                  When she is seen, I only want to kiss her;
                When she is kissed, I never want to flee her;
                  I know that I could never bear to miss her.
            ",,
142,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-207.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-201.jpg,138,,,"
                mālatī śirasi jṛmbhaṇaṃ mukhe
                candanaṃ vapuṣi kuṅkumāvilam |
                vakṣasi priyatamā madālasā
                svarga eṣa pariśiṣṭa āgamaḥ || BharSt_2.23 ||
            ",,,
143,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-208.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-202.jpg,139,,,"
                prāṅ mām eti manāg anāgata-rasaṃ jātābhilāṣāṃ tataḥ
                savrīḍaṃ tad anu ślathodyamam atha pradhvasta-dhairyaṃ punaḥ |
                premārdraṃ spṛhaṇīya-nirbhara-rahaḥ krīḍā-pragalbhaṃ tato
                niḥsaṅgāṅga-vikarṣaṇādhika-sukha-ramyaṃ kula-strī-ratam || BharSt_2.24 ||
            ",,,
144,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-209.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-203.jpg,140,,,"
                urasi nipatitānāṃ srasta-dhammillakānāṃ
                mukulita-nayanānāṃ kiñcid-unmīlitānām |
                upari surata-kheda-svinna-gaṇḍa-sthalānām
                adhara-madhu vadhūnāṃ bhāgyavantaḥ pibanti || BharSt_2.25 ||
            ",,,
145,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-210.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-204.jpg,141,,,"
                āmīlita-nayanānāṃ yaḥ
                surataraso 'nu saṃvidaṃ bhāti |
                mithurair mitho 'vadhāritamavitatham
                idam eva kāma-nirbarhaṇam || BharSt_2.26 ||
            ",,,
146,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-211.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-205.jpg,142,,,"
                idam anucitam akramaś ca puṃsāṃ
                yad iha jarāsv api manmathā vikārāḥ |
                tad api ca na kṛtaṃ nitambinīnāṃ
                stana-patanāvadhi jīvitaṃ rataṃ vā || BharSt_2.27 ||
            ",,,
147,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-214.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-206.jpg,143,,,"
                etat-kāma-phalo loke yad dvayor eka-cittatā |
                anya-citta-kṛte kāme śavayor iva saṅgamaḥ || BharSt_2.35*1 ||
            ","
                ABSENCE AND UNION

                Absence is union dear,
                When hearts are one;
                Union is absence drear.
                When love is done.


                PERFECT LOVE

                Then only is a perfect love,
                  When hearts harmonious wed;
                Love void of harmony must prove
                  A union of the dead.
            ",,
148,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-215.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-207.jpg,144,,,"
                praṇaya-madhurāḥ premodgārā rasāśrayatāṃ gatāḥ
                phaṇiti-madhurā mugdha-prāyāḥ prakāśita-sammadāḥ |
                prakṛti-subhagā visrambhārdrāḥ smarodaya-dāyinī
                rahasi kim api svairālāpā haranti mṛgīdṛśām || BharSt_2.20 ||
            ",,,
149,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-212.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-208.jpg,145,,,"
                āvāsaḥ kriyatāṃ gaṅge pāpa-hāriṇi vāriṇi |
                stana-dvaye taruṇyā vā manohāriṇi hāriṇi || BharSt_2.38 ||
            ","
                HEAVEN ABOVE AND HEAVEN BELOW

                Oh, dwell by Ganges' holy wave
                Where passion's slave his soul may lave;
                Or on the bosom of a girl
                Where strings of pearl would charm a churl.
            ",,
150,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-213.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-209.jpg,146,,,"
                priyapurato yuvatīnāṃ
                tāvat padam ātanoti hṛdi mānaḥ |
                bhavati na yāvac candana-
                taru-surabhir nirmalaḥ pavanaḥ ||

                prathitaḥ praṇayavatīnāṃ
                tāvat padam ātanotu hṛdi mānaḥ |
                bhavati na yāvac candanataru-
                surabhir malaya-pavamānaḥ || BharSt_2.85 ||
            ","
                THE LOVERS' ALLY

                Ye maids, exhaust your haughty scorn
                  On lovers bending low;
                For soon the breeze in southland born,
                With sandal sweet, will blow.
            ",,
151,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-216.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-210.jpg,147,,,"
                parimala-bhṛto vātāḥ śākhā navāṅkura-koṭayo
                madhura-vidhurotkaṇṭhā-bhājaḥ priyā pika-pakṣiṇām |
                virala-virasa-svedodgārā vadhū-vadanendavaḥ
                prasarati madhau dhātryāṃ jāto na kasya guṇodayaḥ || BharSt_2.81 ||
            ",,,
152,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-217.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-211.jpg,148,,,"
                madhur ayaṃ madhurair api kokilā
                kala-ravair malayasya ca vāyubhiḥ |
                virahiṇaḥ prahiṇasti śarīriṇo
                vipadi hanta sudhāpi viṣāyate || BharSt_2.82 ||
            ","
                SORROWS OF SPRING

                When spring comes on the wanderer
                  From her he loveth far,
                With cooing songs of nightingales
                  And winds from Malabar,
              
                Though sweet the season, sweet the song,
                  His sorrows are so grim
                That even a cup of nectar seems
                  A poisoned cup to him.              
            ",,
153,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-218.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-212.jpg,149,,,"
                āvāsaḥ kila-kiñcitasya dayitā-pārśve vilāsālasāḥ
                karṇe kokila-kāminī-kala-ravaḥ smero latā-maṇḍapaḥ |
                goṣṭhī sat-kavibhiḥ samaṃ katipayair mugdhāḥ sudhāṃśoḥ karāḥ
                keṣāṃcit sukhayanti cātra hṛdayaṃ caitre vicitrāḥ kṣapāḥ || BharSt_2.83 ||
            ","
                AN APRIL EVENING

                A little lazy loitering
                With her you love, in early spring,
                Is not a despicable thing—
              
                A little music in your ear
                From nightingales that warble near
                A smiling bower, is sweet to hear—
              
                A little converse with a few—
                Not many—first-rate poets who
                Enjoy the moonlight as do you—
              
                An April evening, taken so,
                Is not without delights to show—
                Believe me! to the few who know.
            ",,
154,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-219.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-213.jpg,150,,,"
                pāntha strī-virahānalāhuti-kalām ātanvatī mañjarīmākandeṣu
                pikāṅganābhir adhunā sotkaṇṭham ālokyate |
                apy ete nava-pāṭalā-parimala-prāg-bhāra-pāṭac-carā
                vānti-klānti-vitāna-tānava-kṛtaḥ śrīkhaṇḍa-śailānilāḥ || BharSt_2.84 ||
            ",,,
155,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-220.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-214.jpg,151,,,"
                sahakāra-kusuma-kesaranikara-
                bharāmoda-mūrcchita-dig-ante |
                madhura-madhura-vidhura-madhupe
                madhau bhavet kasya notkaṇṭhā || BharSt_2.86 ||
            ",,,
156,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-221.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-215.jpg,152,,,"
                acchāccha-candana-rasārdratarā mṛgākṣyo
                dhārā-gṛhāṇi kusumāni ca kaumudī ca |
                mando marut sumanasaḥ śuci harmya-pṛṣṭhaṃ
                grīṣme madaṃ ca madanaṃ ca vivardhayanti || BharSt_2.87 ||
            ",,,
