n,Ryder,Kosambi
183,"
                AN APRIL EVENING

                A little lazy loitering
                With her you love, in early spring,
                Is not a despicable thing—
              
                A little music in your ear
                From nightingales that warble near
                A smiling bower, is sweet to hear—
              
                A little converse with a few—
                Not many—first-rate poets who
                Enjoy the moonlight as do you—
              
                An April evening, taken so,
                Is not without delights to show—
                Believe me! to the few who know.
            ",138
184,"
                The pious scholar talks and talks
                Of leaving girls alone;
              With tinkling girdle in She walks
                And he must change his tone.
            ",147
185,"
                YOUTH

                A bed of poison-flowers is youth,
                A cloud that hides the moon of truth,
                A linked chain of passions fell,
                Source of the hundred woes of hell,
                The dwelling-place of every badness,
                The friend of Love, the seed of madness.              
            ",106
187,"
                Graceful amid the forest shade
                Wandered a weary, weary maid;
                Alone, by moonbeams sore opprest,
                Lifting the garment from her breast.              
            ",121
188,"
                WOMAN

                Abode of wanton impudence,
                Sin's palace, field of false pretense,
                Whirlpool of doubts, and basket stored
                With tricks and mean deception's hoard,
                Bolt barring heaven's gate too well,
                Wide portal to the house of hell—
                Who made that strange contrivance, woman,
                That poison sweet, which keeps us human?              
            ",94
189,"
                THE FEAR OF DEATH

                The joy I felt in life is dead,
                And men's respect for me is fled:
                My dear-loved friends are all in heaven
                To whom my days were gladly given;
                I rise up slowly with a stick,
                And in my eyes the dark is thick:
                But the body still is obstinate;
                It feared Death soon, it fears him late.              
            ",153
190,"
                VAIN EFFORT

                The joys of home I have resigned,
                  But not for higher ends;
                To mercy I was not inclined
                  In treating foes as friends;
              
                Storm, heat, and cold I faced unbent,
                  But not to save my soul;
                My days in centered thought were spent,
                  My heart in stern control—
              
                Alas! I did not think of God,
                  But wealth, to win and guard;
                The paths the pious tread, I trod,
                  And fail of their reward.              
            ",236
191,"
                EVERYTHING OR NOTHING

                Suppose you have the sweetest song before you,
                  The graceful poets of the south beside you,
                Fan-girls behind who winsomely adore you
                  With tinkling rings; if nothing be denied you,
              
                Then you may well be most extremely greedy
                  To taste each charming, mortal delectation;
                But if you be in anything left needy,
                  Renounce it all and plunge in meditation.              
            ",183
192,"
              Since kings are peevish, and their lords
                Like restive horses are,
              I fix my wish and set my mind
                On a high place and far;
            
              Since age will snatch my body, and
                There waits the final trial
              Of death for all, naught else is wise
                And right but self-denial.
            ",258
193,"
                Is he a Brahman, or a slave,
                Ourcaste, or saint forsooth?
              Or yet perchance a finished sage,
              Skilled in dividing truth?
            
              Such doubtful chatter meets him, while
                The sage in contemplation
              Pursues his course, devoid alike
                Of pleasure and vexation.            
            ",243
194,"
                THE BETTER PART-II

                Have mountains lost their running streams,
                  The hillside nooks their roots,
                The trees their bark-enveloped limbs
                  And all delicious fruits?
              
                Why else should man disgrace himself
                  Before a loveless brow
                That scowls in pride of scanty pelf,
                  With pain acquired but now?
            ",184
195,"              ""Another night, another day""—
                So thinks the foolish man,
              Runs to the same old job again
                As briskly as he can.
            
              Frustrations that reiterate
                How life is e'er the same,
              Still leave him keen for stale delights.
                Mad, mad! Is there no shame?            
            ",316
196,"
                JOY SUPREME

                Forget society and clothes and food;
                  Seek thou that knowledge sure
                Which makes imperial power that men think good,
                  Insipid and impure.
                There is a higher joy, eternal, free—
                  Self-knowledge is its name—
                Whose taste makes universal sovereignty
                  And such-like joys seem tame.              
            ",254
