Telang,,Kosambi,Tawney
N130,विरम विरसायासादस्माद्दुरव्यवसायतो,327,"  Abandon, fool, thy hope to see
  The brave man dread calamity;
  When the great doom shall earth o'ertake
  Nor seas, nor mighty hills will quake."
N131,स्पृहयति भुजय़ोरन्तरमायतकरवालकर,346,
N132,अयममृतनिधानं,209,"  The moon the lord of healing herbs,
    Whose gleaming horn is Siva's crest,
  Is doomed with dim eclipse to pine;
    None can avoid grim Fate's behest."
N133,शुभ्रं सद्म सविभ्रमा,7,"  A splendid palace, lovely brides, the symbols all of kingly sway,
  Are jewels strung on merit's thread stretching through many a toilsome day;
  As pearls are from a necklace shed, when breaks the bond that held them fast,
  Light they disperse, when merit fails, whirled from us by misfortune's blast."
N131~H,। अथ वैराग्यशतकम् ।,,HUNDRED STANZAS ON ASCETICISM
N133~H,VAIRÁGYAS'ATAKA .,,
V001,दिक्कालाद्य,256,"Eternal, Holy Spirit, free from bonds of space and time,
Whose essence is self-knowledge,  Thee I call to bless my rhyme."
V001~H,अथ तृष्णादूषणम् ।,,Against the Desire of Worldly Things
V002,बोद्धारो मत्सरग्रस्ताः,4,"  Envy possesses those that know,
    Great men are drunk with pride,
  The vulgar no discernment show;
    Who shall for bards provide?"
V003,न संसारोत्पन्नं चरितमनुपश्यामि,263,"  I tremble at my merit gained in this revolving world,
  Bitter shall be its after-taste, when back to life I'm hurled,
  Those carnal pleasures won by long-continued acts of right,
  Lay heavy burdens on the soul and check its upward flight."
V004,उत्खातं निधिशङ्कया,149,"  I've boldly crossed the stormy brine, I've striven kings to please,
  In grave-yards plied my midnight spells, nor cured that fell disease,
  Earth's bowels have I searched for wealth, and melted stones with fire,
  Thou see'st, no doit rewards my pains, then leave me now, Desire!"
V005,भ्रान्तं देशमनेकदुर्गविषमं,148,"  I've wandered over many lands, and reaped withal no fruit,
  I've laid my pride of rank aside, and pressed my baffled suit,
  At stranger boards, like shameless crow, I've eaten bitter bread,
  But fierce Desire, that raging fire, still clamours to be fed."
V006,खलोल्लापाः सोढाः कथमपि,150,"  Much have I borne rich hosts to please
    Who love to taunt their guests,
  I've laughed with spirit ill at ease,
    And praised their vapid jests;
  I've mastered wrath with strong control,
    And bent the supple knee;
  Then, hopeless hope, why rack the soul,
    Proof against all but thee?"
V007,आदित्यस्य गतागतैरहरह,151,"  Morn after morn dispels the dark,
    Bearing our lives away;
  Absorbed in cares we fail to mark
    How swift our years decay;
  Some maddening draught hath drugged our souls,
    In love with vital breath,
  Which still the same sad chart unrolls,
    Birth, eld, disease, and death."
V008,दीना दीनमुखैः,152,"  What man of sense e'er craves the means of life,
  To feed himself alone? His ragged wife,
  With starving children clinging to her side,
  And wistful looks, o'ercomes his selfish pride;
  Sooner than see his babes with hunger pine,
  He rushes forth prepared to fawn and whine."
V009,निवृता भोगेच्छा,153,"  The joys of life have ceased to please,
    Honour and fame are fled,
  The dear-loved friends of early youth
    Are numbered with the dead,
  Propped on a staff I limp along,
    Dim mists obscure my sight,
  But this frail flesh still dreads the doom
    Of everlasting night!"
V010,हिंसाशून्यमयत्नलभ्यमशनं,352,"  God satisfies the snake with air,
    Grass to the cows is food and bed,
  Man's nobler soul is clogged with care,
    Struggling to gain his daily bread."
V011,न ध्यातं पदमीश्वरस्य,154,"  I've never sought release from births by honouring Siva's feet, 
  Nor oped by merit huge the gate of Indra's heavenly seat, 
  Nor wandered with my youthful feres in Pleasure's giddy maze, 
  Then vain my mother's cares and woes, and profitless my days."
V012,भोगा न भुक्ता,155,"  I have not wasted life, but life hath wasted me, 
  I have not chosen pain, but pain hath been my lot, 
  Some men make Time their fool, but here Time's fool you see, 
  I've long been dead to joy but passion dieth not."
V013,क्षान्तं न क्षमया,236,"  Insults I've borne, but not with patient mind, 
  Pleasures forborne, to which my heart inclined;
  Put up with hunger, nakedness, and cold, 
  Not for the love of God, but love of Gold; 
  Thought much on wealth, but not on Siva's feet, 
  And broke my slumbers not to pray, but cheat; 
  I've lived a hermit's life without his creed, 
  Made earth a hell, but gained no heavenly meed."
V014,बलिभिर्मुखमाकान्तं,156,"  Wrinkles deform my face. 
  And hoary hairs my head. 
  Withered my youthful grace. 
  But avarice blooms instead."
V015,येनैवाम्बरखण्डेन,313,
V016,अवश्यं यातारश्चिरतरमुषित्वापि,157,"  The joys of sense will vanish soon, what do we gain thereby? 
  Those only store up merit who in all themselves deny; 
  When pleasures flee, they leave behind a never-ending smart, 
  But he who hurls them from him fills with heavenly peace his heart."
V016~H,तृष्णाधिकारमाह ।,,
V017,विवेकव्याकोशे,329,"  As knowledge grows, content expands, and fell desire abates;  
  But worldly joys, if long embraced, a baneful influence gain; 
  Thus Indra, like a mortal king, hopes, trembles, loves, and hates, 
  From having held through endless years an undisputed reign."
V017~H,मदनविडम्बनमाह |,,
V018,कृशः काणः खज्जः,2,
V018~H,विषयाणामधिकारमाह ।,,Of Worldly Enjoyments
V019,भिक्षाशनं तदपि,158,"  I'm forced to beg my loathsome daily mess, 
    My couch the earth, myself my only guard,
  Of filthy patched unseemly clouts my dress, 
    And yet these worldly longings press me hard."
V019~H,रूपतिरस्कारमाह |,,Against the Love of Beauty
V020,स्तनौ मांसग्रन्थी,159,
V021,अजानन्माहात्म्यं,160,"  The moth unwitting rushes on the fire, 
    Through ignorance the fish devours the bait, 
    We men know well the foes that lie in wait. 
  Yet cannot shun the meshes of desire."
V021~H,अथ दुर्जनमुद्दिश्याह ।,,Of Evil Men and Oppressors
V022,बिसमलमशनाय,161,"  My drink is of the crystal brook, of fruits my banquet's spread. 
  My frame is swathed in strips of bark, the earth's my sumptuous bed. 
  Thus happier far, than forced to bear the upstart insolence 
  Of those the new strong wine of wealth hath robbed of every sense."
V022~H,मानितामुद्दिश्याह ।,,Of Vain-glory
V023,मिपुलहृदयैर्धन्यैः,162,"  By mighty sages' will this world first saw its natal day, 
  Others have conquered it, and thrown with scorn its wealth away. 
  Others rule fourteen higher worlds all happier than ours, 
  Why then should lords of some few towns thus vaunt their petty powers? "
V023~H,निस्पृहाणामधिकारमाह ।,,Of Indifference to Worldly Things
V024,स्त्वं राजा बयमप्युपासितगुरुप्रज्ञाभिमानोभताः,163,"  Thou art a king, I grant, but we are famed for boundless lore, 
  Thy wealth's renowned, our skill by bards proclaimed on every shore, 
  Between us no vast gulf is set: what though thou scorn our name, 
  Yet we, to all indifferent, heed not thy praise or blame."
V025,अभुक्तायां यस्यां क्षणमपि,164,"  This world still groans 'neath many hundred kings 
    All emulous to snatch their neighbour's share, 
  Each paltry gain some fresh enjoyment brings, 
    To fools whose greed should fill them with despair. "
V026,मृत्पिण्डो जलरेखया,304,"  This earth is but a lump of clay girt with a briny ditch, 
  Where hosts of squabbling kings contend, all striving to be rich. 
  One cannot blame these grovelling slaves for cling-ing to their store, 
  But out on those who stoop to beg at any royal door!"
V026~H,दुर्भगसेवकस्य वाक्यमाह |,,The Misery of a Courtier's life
V027,न नटा न विटा,165,"  What can I do in princely courts, 
  Unskilled in vice, and idle sports, 
  Nor singer, actor, rogue, nor clown,
  Nor bent on pulling others down?"
V028,पुरा विद्वत्तासीदुपशमवतां,272,"  Of old time learning courted saintly bliss. 
    Then stooped to be the slave of base desire, 
    But now that kings 'gainst intellect conspire 
  Each day she plunges deeper in th' abyss."
V028~H,साहंकारं पुरुषमुद्दिश्याह ।,,Of the Proud Man
V029,स जातः कोप्यासीन्मदनरिपुणा,338,"  Those men may boast of being born, whose skulls gleam white on Śiva's head,
  The final meed of holy saints, and chiefs whose souls in battle fled; 
  But oft I muse how men can swell with pride at causing those to bow. 
  Who, if they save their precious lives, care little for the when and how."
V030,अर्थानामीशिषे त्वं,166,"  You are a lord of acres, 
    But we are lords of song; 
  And we subdue the subtle, 
    If you subdue the strong; 
  The rich of you are speaking, 
    In me the wise believe. 
  And if you find me irksome, 
    Why then — I take my leave."
V031,यदा किंचिज्ज्ञोऽहं,5,
V031~H,निर्ममतास्वरूपमाह |,,Of Self-renunciation
V032,अतिक्रान्तः कालो,201,"  The day of pleasure's past and gone, 
  Long through this world we've wandered on, 
    And weary reached the brink: 
  By Ganga's stream shrills forth our cry, 
  "" O Siva, Siva, Lord most high. 
    Help, Siva, or we sink."""
V033,माने म्लायिनि,303,"When honour fades, and wealth departs, and boons are craved in vain,
And friends are dead, and servants fled, and joy exchanged for pain, 
This course alone becomes the wise — to seek those mountain caves 
Whence softly flow through woods below the sanctifying waves."
V034,परेषां चेतांसि,167,"Why suffer endless woes in vain 
The favour of the great to gain? 
Let false ambition's longings cease,
Learn to possess thy soul in peace, 
And thou hast won the wishing-cap 
That pours earth's treasures in thy lap."
V034~H,अथ भोगपद्धतिः ।,,Of the Terrors that beset the Path of Pleasure
V035,भोगे रोगभयं कुले च्युतिभयं,294,"In happiness men fear disease, the haughty shrink from scorn, 
The rich, the wise, the men of might, dread princes, critics, foes;
Envy blights virtue, eld good looks, death threatens all things born, 
The hermit's humble life alone gives undisturbed repose."
V036,अमीषां प्राणानां,168,"For life fast slipping from my hold
    I've borne the last and worst disgrace, —
I've sat 'mongst wealthy fools, and told
    My merits with unblushing face."
V037,भ्रातः कष्टमहो महान्स,169,"We speak with awe of glorious kings, of haughty lords, and knights,
Of courtiers ranged in glittering rows, of triumphs and of fights,
Of tuneful bards that hymn their praise: who honours as he ought
That “eloquent and mighty Death” that sweeps them into nought?"
V037~H,पुनः कालमुद्दिश्याह ।,,Of Time the Destroyer
V038,वयं येभ्यो जाताश्चिरपरिगता,170,"Our parents long have passed away.
    All old familiar faces fled.
Destruction nears us day by day,
    Like trees in sandy river-bed."
V039,यत्रानेकः क्वचिदपि गृहे,171,"Where many dwellers once were seen, one only now survives,
Again that house is filled with store of joyous human lives,
Then all are swept away again; thus wielding night and day
As dice, destruction's wedded powers with helpless mortals play."
V040,तपस्यन्तः सन्तः,172,"Shall we retire to Ganga's brink.
    Or cull the sweets of honeyed lays,
Or court a wife whom all men praise ?
    Life's short — we know not what to think."
V041,गङ्गातीरे हिमगिरिशिला,239,"O for those days when I shall dwell alone
    Among the snowy hills by Ganga's stream,
In stony torpor stiffened on a stone,
    Inly conversing with the One Supreme,
Rapt in devotion, dead to all beside,
And deer shall fray their horns against my senseless hide."
V042,स्फुरत्स्फारज्योत्स्नाधवलिततले,347,"When shall we, sick of life's entangling bands,
Sit on the holy river's moonlit sands,
Through windless nights, with rapture-streaming eyes,
And thrice on Śiva call with plaintive cries?"
V043,महादेवो देवः,299,"Still Śiva's arm is strong to save, 
Still may we plunge in Gangâ's wave,
Still one blue heaven bends over all,
Still Time sees mortals rise and fall,
Still poverty's our best defence,
Enough—renounce the joys of sense."
V044,शिर : शावँ स्वर्गात्पशुपतिशिरस्तः,334,
V045,आशा नाम नदी,173,"Hope is a stream, its waves desires, by stormy passions tossed.
With cruel longings lurking deep,* by light-winged visions crossed,
Resolves like firmly planted trees its floods uprooting bear,
Its madness swirls in eddying rings beneath its banks of care;
But those, who in devotion's bark attain its further shore,
Rejoice, for this unstable world enslaves their souls no more.

* Like alligators; the visions are compared to birds."
V046,आसंसारं त्रिभुवनमिदं,176,"I've searched for years through earth and air and sky,
Nor yet one perfect saint hath met my eye,
Nor have I heard of one who could restrain
Desire's fierce elephant with reason's chain."
V046~H,साम्प्रतं निर्वेदतायाः स्वरूपमाह |,,
V047,ये वर्धन्ते धनपतिपुरः,174,"The days seem long to those who drudge for pay,
And short to those who fritter life away;
When shall I sit and think how vain their moans,
A hermit pillowed on a bed of stones?"
V048,विद्या नाधिगता कलङ्करहिता,175,
V049,वितीर्णे सर्वस्वे,325,"When all our wealth is wasted, we'll seek some calm retreat,
And spend the night in thinking on Siva's holy feet.
When streams the autumn moonlight into our melting hearts,
How false that world will glimmer where once we played our parts."
V050,वयमिह परितुष्टा,177,"Bark garments satisfy my needs,
But you are pleased with silken weeds,
    Who counts you better off than me?
But woe to him whose wants are great!
Contentment equals men's estate,
    And makes the rich and poor agree."
V051,यदेतत्स्वाच्छन्द्यं,308,"Unfettered wandering, and meals from degradation free.
The friendship of the wise and good; and sober piety,
A heart that beats not for the world — none, that my thoughts can trace,
Not e'en by strictest discipline hath gained this heavenly grace."
V052,पाणिः पात्रं पवित्रं,269,"The hand's a lordly dish,
The mouth with alms is fed,
The sky's a glorious robe,
The earth's a sumptuous bed,
Those live in high content
Who're free from passion's chain,
And works with all their brood
Of ignorance and pain."
V053,दुराराध्यः स्वामी,258,"King's fancies swiftly pass like coursers in the race,
In vain to them we look for favour, wealth, and place.
Eld robs our frame of strength, death slays us at a blow,
None but the hermit's life can happiness bestow."
V054,भोगा मेघविता,178,"Our joys are short-lived as the flash
    That cleaves the cloudy veil,
Our life is fleeting as the mists
    That drive before the gale;
Youth's pleasures fade — then fix your minds
    On that untroubled peace
Which patient meditation brings
    To those whose longings cease."
V055,पुण्ये ग्रामे,179,"To roam some woodland hermitage where Brahmans' chants resound,
And smoke of sacrificial fires blackens the trees around,
Begging one's bread from cell to cell, plants in the breast no thorns.
Like living poor amongst one's kin, bearing their hourly scorns."
V056,चाण्डाल: किमयं,243,"While gaping idlers turn the head and say,
    “What stamp of man can yonder pilgrim be,
    Saint, sophist, outcast. Brâhman, slave, or free?”
Nor pleased nor wroth the hermit wends his way."
V057,सखे धन्याः,337,"Happy are those vvho've ceased to walk by sight,
    Slain passion's snake, and make good deeds their stay.
Who spend in woodland nooks the tranquil night
    Illumined by the moon's autumnal ray."
V058,एतस्माद्विरमेन्द्रियार्थ,180,"Be still, my fluttering heart, and leave this crowded show
Of worldly toys 'midst which thou eddiest to and fro,
Abandon fleeting forms, and seek that settled state
Of grounded peace enthroned above the storms of fate."
V059,पुण्यैर्मूलफलैः,181,"Pillowed on banks of moss, with roots and berries fed,
Enwound with strips of bark, our wants shall all be sped—
Off to the woodland shades, and gladly leave behind
These men of stammering speech, with wealth-bewildered mind."
V060,मोहं मार्जयतामुपाय,182,"Abandon empty hopes, and place thy trust, my breast,
In Ganga, and in him who bears the moony crest; 
Whoe'er confides in snakes, waves, women, bubbles, flames,
Lightnings or mountain streams, his want of sense proclaims."
V061,अग्रे गीतं सरसकवयः,183,"If song resound thy steps before,
    And Dekhan lyres behind,
And nymphs with jingling bracelets pour
    The _Chowri's_ perfumed wind,
Scorn not this world's broad easy ways.
    And drink of pleasure's bowl;
If not—then fix thy steadfast gaze
    On that undying soul."
V062,विरमत बुधा,326,
V063,प्राणाघातानिवृत्तिः,3,
V064,मातर्लक्ष्मि भजस्व,302,"Kind Fortune, seek some other love, I long not for thy dower;
And what to those whose lusts are dead avails thy golden shower?
Leave me to beg from day to day my dole of barley-meal, 
The fig's broad leaf supplies a dish that none would care to steal."
V065,यूयं वयं वयं,312,"Once I was thou, and thou wast I,
    In perfect union blent;
Say, what hath severed friendship's tie,
    And souls asunder rent ?"
V066,बाले लीलामुकुलितममी,282,"Why sidelong cast thy languid eyne?
Vain is thy hope to tangle mine.
My nature's changed; no more a child
With every wanton toy beguiled,
To cloistered cell I'd fain withdraw.
This world's bright nets I count but straw."
V067,इयं बाला मां,218,
V068,रम्यं हर्म्यतलं,315,"Tis sweet in palaces to dwell,
Where music's strains voluptuous swell;
'Tis sweet to hear the loved one's voice;
But wise men, of deliberate choice,
Have run from these to forest glades,
Assured all earthly pleasure fades,
Swift as the moth in heedless game
Puffs out the taper's feeble flame."
V069,किं कन्दा : कन्दरेभ्यः,184,"Are roots extinct in mountain caves? have streams forgot to flow?
Do vests of bark and woodland fruits on trees no longer grow?
Else why endure the haughty mien and eye-brows arched in scorn
Of men who've scraped together wealth to which they were not born ?"
V070,गङ्गातरङ्गकणशीकरशीतलानि,238,"Say, whither are those slabs of stone
    All moist with Ganga's dew.
And Dryad-haunted thickets flown,
    That men can bear to sue
For alms and insults at the door of some proud _parvenu_?"
V071,यदा मेरुः श्रीमान्निपतति,306,"Mount Meru's golden mass shall melt at that last awful day,
The monster-peopled seas dry up, the earth dissolve away;
What hope for feeble human frames, whose breath doth come and go,
As swiftly as the elephant flaps his ear to and fro?"
V072,एकाकी निस्पृहः,185,"When, when, O Siva, shall I be
Lonely and calm, from passion free;
My only robe the liberal air,
My hand the dish that holds my fare,
But able Action to uproot,
The tree that bears Life's bitter fruit."
V073,प्राप्ताः श्रियः,186,"Suppose thy fortune's boundless as the main,
Suppose thy years a world's great age complete,
Suppose thy foes all placed beneath thy feet,
And friends rewarded richly: where's thy gain?"
V074,जीर्णा कन्था ततः,288,"The hermit's tattered patchwork robe, or courtier's silken weeds.
One wife to tend thy home, or troops of elephants and steeds.
One simple meal at close of day, or many a gorgeous feast.
It matters not, be but thy soul from earthly cares released."
V075,भक्तिर्भवे मरणजन्मभयं,187,"My faith in Siva wavereth not, I shrink from future birth,
I care not for my friends or kin, I scorn the joys of earth,
I love the lonely forest-glades, from worldly turmoil free,
No greater bliss can fall to man than falleth unto me."
V076,तस्मादनम्तमजरं,188,"Think upon that self-developed, everlasting One Supreme,
Fling aside all vain delusions, all the worldling's baseless dream,
Pity those dull slaves of custom who are caught with empty toys,
Kingly crowns, and thrones imperial, and a round of sensual joys."
V077,पातालमाविशति,189,"You mount to heaven, again you sink to hell,
    You roam the world around with anxious breast,
And yet not e'en by chance your thought doth dwell
    On Him who only gives the spirit rest."
V078,रात्रिः सैव पुनः,316,"Night follows night, and day succeedeth day,
And thoughtless men hurry to work and play,
But sages ought to blush when treading found,
Year after year, the same dull weary round."
V079,मही रम्या शय्या,190,"Stretched out at ease upon the ground, and pillowed on his arm,
The houseless hermit sleeps in peace, secure from nightly harm,
The breeze his fan, his lamp the moon, his canopy the sky, —
What royal palace of this earth can such delights supply?"
V080,त्रैलोक्याधिपतित्वमेव,254,"Feasts, flatteries, and idle hours
    Make up a prince's day,
Let not the saint employ his powers
    To compass kingly sway:
But quaff the ever-brimming stream
    Of pure and holy mirth;
Who that hath tasted bliss supreme
    Can sink to joys of earth?"
V081,किं वेदैः स्मृतिभिः,191,"What profit are the Vedas,
Or books of legal lore,
Or those long-winded legends.
Repeated o'er and o'er?
What gain we by our merits?
A dwelling in the skies—
A miserable mansion,
That men of sense despise—
All these are huckstering methods, —
Give me that perfect way
Of self-contained fruition,
Where pain is done away."
V082,आयु : कल्लोललोलं,192,"Our life is like th' unstable wave,
Our bloom of youth decays.
Our joys are brief as lightning flash
In summer's cloudy days,
Our riches fleet as swift as thought;
Faith in the One Supreme
Alone will bear us o'er the gulfs
Of Being's stormy stream."
V083,ब्रह्माण्डमण्डलीमावं,284,"Can all this earth encloses
Flutter the sage's breast?
Say, can the darting minnow
Trouble the ocean's rest?"
V084,यदासीदज्ञानं,6,
V085,रम्याश्चन्द्रमरीचयस्तृणवती,193,"I love the moon's soft beams, I love the grassy wood,
I love to talk of verse among the wise and good,
I love the fair one's face gleaming with angry tears,
I think how fleeting all, and pleasure disappears."
V086,भिक्षाशी जनमध्यसङ्गरहितः,289,"Lonely among his kind,
Breaking on alms his fast,
Free as th' unfettered wind,
The hermit wanders past,
Of tattered rags his dress,
He knows no care nor pride,
He longs for quietness,
And has no want beside."
V087,मातर्मेदिनि तात मारुत,301,"My mother Earth,
My kinsman Fire,
Water my friend,
And Wind my sire.
My brother Heaven,
A long adieu!
By merit gained
When linked to you
I've purchased grace
To break my chains,
And merge in that
Which all sustains."
V088,यावत्स्वस्थमिदं,194,"While the soul's temple still stands firm, and eld still bides afar,
While sense is keen, and Life with Death still wages equal war.
The wise to gain the spirit's peace should strive with strong desire.
What boots to dig a well when all the house is wrapped in fire?"
V089,नाभ्यस्ता भुवि,195,"I have not learnt the wrangler's art or less pretentious lore,
Nor cleft in fight the war-beasts' skulls on Fame's broad wings to soar,
Nor sipped the fair one's honeyed lip while soft the moonbeam falls;—
My youth is wasted like a lamp in vast unpeopled halls."
V090,ज्ञानं सतां मानमदादिनाशनं,250,"Knowledge abates the wise man's pride,
But kindles it in all beside;
That loneliness which shields the saint
Lets sinners sin without restraint."
V091,जीर्णा एव मनोरथाः,249,"The youthful freshness of my heart is worn with old decay,
The beauty of my limbs hath passed unrecognized away,
Grim Fate brings nigh with giant strides the unrelenting hour;
What hope but in the feet of him who smote Love's wanton power?"
V092,तृषा शुष्यत्यास्ये,253,"If parching thirst dries up the throat,
How sweet the brimming stream;
If hunger pinches, rice and herbs
Imperial dainties seem.
We hug this fond belief,—that we
A solid pleasure gain,
When all we've done is to remove
The momentary pain."
V093,स्नात्वा गाङ्गैः,345,"When shall I bathe in Ganga's stream and please Thee, Lord, with fruits and flowers,
Thinking of that one worthy theme, on beds of stone through midnight hours,
Honouring my Father in the faith, striving to lift my heart above?
When shall I fling my woes aside? Help me, thou enemy of Love."
V094,शय्या शैलशिला,333,"The man whose bed is made of rock, whose mansion's but a cave,
Who's clothed in bark and fed on fruits, who drinks the crystal wave,
Whose friends are deer, alone can boast of splendour on this earth;
For he alone ne'er bows the head to power, or wealth, or birth."
V095,सत्यामेव त्रिलोकीसरिति,339,
V096,उद्यानेषु विचित्रभोजन,430,"Out of Banaras who can live that boasts the sage's name,
Where rags are counted splendid clothes, and begging held no blame,
Where gardens yield to all who need their bounteous supplies,
Where saints subdue the flesh, where Death's the gate of Paradise?"
V097,नायं ते समयो,264,"Leave those proud doors where surly slaves growl out ""our lord's asleep,
We cannot wake him: if we do, his wrath no bounds will keep,""
But haunt the temple of that god who rules this mighty whole,
Whose gate no ill-bred porter keeps, who fills with bliss the soul."
V098,प्रियसखि,278,"Our mind is but a lump of clay
That Fate, grim potter, holds
On sorrow's wheel that rolls alway,
And, as he pleases, moulds."
V099,महेश्वरे वा जगतामधीश्वरे,300,"Siva controls earth, heav'n, and hell,
Vishnu pervades each part,
Their rank in being who can tell?
But Siva has my heart."
V100,रे कन्दर्प करं,317,"Why, Cupid, wound thy hand with twanging still the bow?
Why, cuckoo, sound for nought thy soft love-moving strain?
Why bashful maiden, still thy sidelong glances throw?
My soul the nectarous wine of Siva's love doth drain."
V101,कौपीनं शतखण्डजर्जरतरं,234,"What though the hermit's cloak be torn with many a rent,
What though he sleep in tombs or under forest trees,
Heeding not friend or foe, on self-communion bent,
From pride and anger free, his mind is still at ease."
V102,भोगा भङ्गुरवृत्तपो,292,"Enjoyments quickly lose their zest; of them our life is made;
Then why extend the hand to grasp these flowers that bloom to fade?
If for my words you care at all, then fix your constant soul
On that eternal Fount of light whose beams can Love control."
V103,धन्यानां गिरिकन्दरे,196,"Happy who dwell in mountain caves, praising the One Supreme,
Upon whose breasts sleep fearless birds that drink their tears of joy,
While we are sporting in the groves, and wandering by the stream
Of some aerial pleasure ground, our wayward fancy's toy."
V104,आघ्रातं मरणेन जन्म,197,"Death swallows Birth, and Youth's brief flash the jaws of Age devour,
Desire of wealth eats up Content, and Love the peaceful hour,
Fell Envy's tooth gnaws Virtue's bud, and snakes infest the wood,
Kings' courts are overrun with knaves: thus bad things feed on good."
V105,आधिव्याधिशतैर्जनस्य,198,"Hundreds of various pains and griefs uproot the health of man,
Where Fortune takes up her abode mishaps soon crowd the gate,
Nothing is born which Death makes not a subject of his state,
How full of faults is Destiny! how ill-conceived her plan!"
V106,कृच्छ्रणामेव्यमध्ये,199,"Hard is our lot within th' imprisoning womb,
Our youth beset with separation's doom,
Loathsome our age, the theme of woman's mirth,
Say then, ye men, what joy ye find on earth?"
V107,आयुर्वेर्षशतं नृणां,200,"A hundred years complete our span, half that is passed in night:
Childhood and age devour the half of what belongs to light:
The rest is torn with parting pangs, of ceaseless toil the slave;
What profit in our human life, unstable as the wave?"
V108,ब्रह्मज्ञानविवेकिनोमलधियः,283,"Those who distinguish that which is from fleeting outward shows,
Do well to give up wealth and joys to gain secure repose;
What therefore must be said of us who cannot bear to part
From that which never can be ours, on which we've set our heart?"
V109,व्याघ्रीव तिष्ठति जरा,332,"Eld like a tiger threats our careless bliss,
Diseases wound our frame like angry foes,
As water from a broken pitcher, flows
Our life away; and yet men do amiss."
V110,सृजति तावदशेषगुणाकरं,342,"Once in a way Dame Nature makes
A perfect crystal free from stain,
And then, like careless workman, breaks
The piece which cost her so much pain."
V111,गात्रं संकुचितं,242,"The limbs contract, the gait's infirm, the teeth drop from the gums,
The eyesight dims, the hearing fails, and senile drivelling comes;
No more relations heed our words, our wife e'en disobeys,
Our son becomes a foe: alas! what ills in length of days!"
V112,क्षणं बालो,235,"Man is an actor who plays various parts:—
First comes a boy, then out a lover starts,
His garb is changed for, lo! the beggar's rags!
Then he's a merchant with full money-bags;
Anon an aged sire, wrinkled and lean;
At last death drops his curtain on the scene."
V113,अहौ वा हारे वा,213,"Night, day, friend, foe, dross, gems, are all the same to me,
'Twixt stones and rose-strewn beds no difference I see;
In some lone hermitage I let the hours glide by,
And loud on Siva call with thrice-repeated cry."
V113~H,॥ इति श्रीमर्तृहरिकृतवैराग्यशतकं संपूर्णम् ॥,,
V113~H,MISCELLANEOUS STANZAS .,,Miscellaneous Stanzas.
V114,अकिंचनस्य दान्तस्य,353,"The man of firm and constant soul,
Who nought possessing, nought desires,
Nor burns with passion's raging fires,
Finds happiness from pole to pole."
V115,अनावर्ती कालो,204,"Time passes never to recede,
But careless mortals take no heed:
The woes that in past years we bore
Leave us no wiser than before;
What folly do we lay aside?
Though sorely by our errors tried,
We learn not prudence, but begin
Once more a fresh career of sin."
V116,अभिमतमहामानग्रन्थिप्रभेदपटीयसी,207,"The belly clamours for its rights, and will not be denied,
Its keen-set longings cut the purse that holds our human pride,
It withers virtue as the moon the lotus of the day,
The mantling vine of modesty it lops and shreds away."
V117,अश्नीमहि वयं,210,"Let's live on offerings, sleeping on the ground,
Clothed with the air, and not in courts be found."
V118,उत्तिष्ठ क्षणमेकमुद्रह,422,"“Rise up and bear one second's space
Grim penury's awful load;
Let me o'erwearied take thy place
In Pluto's dark abode.”—
A poor man thus a corpse bespake;
The corpse, preferring death
To want, would not its silence break
For all his waste of breath."
V119,उदन्वच्छना भूः स च निधिरपां,219,
V120,एको देवः केशवो वा शिवो वा,223,
V121,एको रागिषु राज़ते,224,"Siva is chief of those who fleshly lusts despise,
Though linked to Uma's form by everlasting ties;
We, racked with venom-pangs which Cupid's arrow brings,
Can neither leave nor yet enjoy these worldly things."
V122,एता इसन्ति च रुदन्ति च,439,"They smile and weep to gain their end,
Cajole, but never trust a friend,
So wise men keep from women far
Shunning them like the funeral jar."
V123,कदा वाराणस्याममरतटिनीरोधसि,227,
V124,कार्कश्यं स्तनयोर्दृशोस्तरलतालीकं,449,
V125,कचिद्वीणावाद्यं क्वचिदपि च,470,"Here sounds the tuneful lyre, and there loud shrieks appal,
Here is a sage discourse, and there a drunken brawl,
Here maids in prime of youth, there wrinkled forms you meet;
Of what consists our life, of bitter or of sweet?"
V126,gātrair गिरा च विकलश्रृटुमीश्वराणां,484,"With gestures forced, cracked voice, and smiling face,
Your part is now to sue for rich men's grace,
Half fool, half knave; but when your hair is grey
What part in life's great farce remains to play?"
V127,This Stanza has been intentionally omitted,,
V128,चला लक्ष्मीश्चलाः प्राणाश्चलं,495,"Breath, fortune, life, and youth are swiftly ebbing tides,
In this unstable world virtue alone abides."
V129,चूडोत्तसित चारुचन्द्रकलिकाचञ्चच्छखाभासुरो,1,"Siva's a guiding lamp, that burns in hermits' hearts.
Dispels delusion's gloom and light and heat imparts,
He shrivelled like a moth the frivolous god of Love,
His flame's the moon's white streak that gleams his crest above."
V130,वेतश्चिन्तय मा रमां,245,"My soul, for Fortune sigh no more, that blind capricious fair,
That dwells in princes' nods and frowns, unstable as the air;
Rags are the wise man's ""coat of proof;"" in these from door to door
We beg through wide Banaras' streets, and one hand holds our store."
V131,जातः कूर्मः स एकः,248,"That tortoise really lives its life which bears the world on high,
We bless the pole star's birth, round which revolves the starry sky,
But all those buzzing summer flies, that serve not others' gain,
Dead to all useful purposes e'en from their birth remain."
