,Mādhavānanda,Kosambi
40,"				ब्रह्मेन्द्रादिमरुद्गणांस्तृणकणान्यत्र स्थितो मन्यते
					यत्स्वादाद्विरसा भवन्ति विभवास्त्रैलोक्यराज्यादय: ।
				भोग: कोऽपि स एक एव परमो नित्योदितो जृम्भते
					भो साधो क्षणभंगुरे तदितरे भोगे रतिं मा कृथा: ।।४०।।
			40. There is one Enjoyment and one alone, lasting, immutable, and supreme, of which the taste renders tasteless the greatest possessions, such as the sovereignty of the three worlds, and established in which a Brahmā, Indra, or the gods (i.e., their positions) appear like particles of grass. Do not, oh sādhu, set your heart on any ephemeral enjoyment other than that.",286
41,"                                सा रम्या नगरी महान्स नृपति: सामन्तचक्रं च त-
                                        त्पार्श्वे तस्य च सा विदग्धपरिषत्ताश्चन्द्रबिम्बानना: ।
                                उद्वृत्त: स च राजपुत्रनिवहस्ते बन्दिनस्ता: कथा:
                                        सर्वं यस्य वशादगात् स्मृतिपथं कालाय तस्मै नम: ।।४१।।
                        41. That lovely city, that grand monarch, and that circle of feudatory kings at his side, that cabinet of shrewd counsellors of his and those beauties with moon like faces, that group of wayward princes, those court-minstrels and their songs of praise—under whose power all this fleeted away and became objects of memory, to that Kāla (time or the principle of change) salutation!
                        [उद्वृत्त: —Another reading is उद्रिक्त, which means ‘haughty’.]",169
42,"				यत्रानेक: क्वचिदपि गृहे तत्र तिष्ठत्यथैको
					यत्राप्येकस्तदनु बहवस्तत्र नैकोऽपि चान्ते ।
				इत्थं नेयौ रजनिदिवसौ लोलयन्द्वाविवाक्षौ
					काल: कल्यो भुवनफलके क्रीडति प्राणिशारै: ।।४२।।
			42. Where in some home (or, a square in the case of a checkerboard) there once were many, there is now one, and where there was one or many successively, there is none at the end (of the game)—this is the process in which expert Kāla plays (his game) on the checkerboard of this world with living beings as the pieces to be moved, and casting the two dice of day and night.",171
43,"				आदित्यस्य गतागतैरहरह: संक्षीयते जीवितं
					व्यापारैर्बहुकार्यभारगुरुभि: कालोऽपि न ज्ञायते ।
				दृष्ट्वा जन्मजराविपत्तिमरणं त्रासश्च नोत्पद्यते
					पीत्वा मोहमयीं प्रमादमदिरामुन्मत्तभूतं जगत् ।।४३।।
			43. Daily, with the rising and setting of the sun, life shortens, and time (i.e., its flight) is not felt on account of affairs heavily burdened with manifold activities. Neither is fear produced at beholding birth, death, old age, and sufferings. (Alas), the world has become mad by drinking the stupefying wine of delusion.
",151
44,"				रात्रि: सैव पुन: स एव दिवसो मत्वा मुधा जन्तवो
					धावन्त्युद्यमिनस्तथैव निभृतप्रारब्धतत्तत्क्रिया: ।
				व्यापारै: पुनरुक्तभूतविषयैरित्थंविधेनामुना
					संसारेण कदथिर्ता वयमहो मोहान्न लज्जामहे ।।४४।।
			44. Seeing even the same night to be ever following the same day, in vain do creatures run on (their worldly course) perseveringly and busy with various activities set agoing secretly, i.e., by individual mental resolves. Alas, through infatuation we do not feel ashamed at being thus befooled by this saṁsāra (life) with occupations in which the same particulars repeat themselves!
			[The idea is: How profoundly deluded by desire we live! For never growing old itself, it makes all things look fresh and new, otherwise no worldly pursuit has any real novelty. They are as stale as the uniform appearance of day and night following each other.]",316
45,"				न ध्यातं पदमीश्वरस्य विधिवत्संसारविच्छित्तये
					स्वर्गद्वारकवाटपाटनपटुर्धर्मोऽपि नोपाजिर्त: ।
				नारीपीनपयोधरोरुयुगलं स्वप्नेऽपि नालिङ्गितं
					मातु: केवलमेव यौवनवनच्छेदे कुठारा वयम् ।।४५।।
			45. न ध्यातं etc.—The feet of the Lord have not been medi­tated upon (by me) in due form for the sake of doing away with this saṁsāra or worldly bondage. स्वर्गद्वार etc.—Neither has dharma (merit through performance of religious duties) been earned, such as is strong to knock open the gates of heaven. मातु: केवलमेव etc.—We have simply proved to be hatchets, as it were, to cut down the garden of our mother’s youth, i.e., we have simply made our mother age through giving birth to us. That is the only result we find worthy of mention.",154
46,"				नाभ्यस्ता प्रतिवादिवृन्ददमनी विद्या विनीतोचिता
					खड्गाग्रै: करिकुम्भपीठदलनैर्नाकं न नीतं यश: ।
				कान्ताकोमलपल्लवाधररस: पीतो न चन्द्रोदये
					तारुण्यं गतमेव निष्फलमहो शून्यालये दीपवत् ।।४६।।
			46. नाभ्यस्ता etc.—The proper scholarship for a cultured man, such as enables one to defeat hosts of disputants, has not been acquired. खड्गाग्रै: etc.—By the point of the sword strong to knock down the capacious temples of elephants, fame has not been carried to heaven. तारुण्यं etc.—Useless has youth passed away like a lamp in a deserted house.
",195
47,"				विद्या नाधिगता कलङ्करहिता वित्तं च नोपाजिर्तं
					शुश्रूषापि समाहितेन मनसा पित्रोर्न संपादिता ।
				आलोलायतलोचना: प्रियतमा: स्वप्नेऽपि नालिङ्गिता:
					कालोऽयं परपिण्डलोलुपतया काकैरिव प्रेर्यते ।।४७।।
			47. विद्या नाधिगता etc.—Knowledge free from defect has not been mastered; कलङ्करहिता means ‘free from doctrines incapable of proof.’ वित्तं च etc.—Riches neither have been earned. शुश्रूषापि etc.—Services to parents have not been rendered with single-mindedness. कालोऽयं etc.—Like crows, all the time has been passed in greediness for food, i.e., maintenance obtainable from others.
			[These three stanzas (Nos. 45, 46, 47) strike a rather anomalous note. Here the poet personates a man whose life has been, like the lamp burning in a deserted abode, a thorough failure. Such a man is looking back on his youthful years of unmitigated worthlessness. But are the reflections he is making here typical of those who are at the threshold of true renunciation?  By no means are they typical. The poet here simply takes up a particular case of an aspirant after renunciation which may serve his poetical purposes best. This aspirant has had in his youth no taste of glory either as a pious man, a dutiful son, a scholarly student, a brave warrior, or a lover of women. He appears to lament here that none of the fourfold aim of human life (धर्म, religious merit; अर्थ, wealth; काम, fulfilment of desires; and मोक्ष, liberation) has been pursued by him in the past with the slightest success. Perhaps he means that that is best calculated to impress on his mind the vanity of all the ends of a householder’s life. But this impression of vanity and consequent non-attachment may very well come, and come with perhaps greater completeness, to men who had the ability to succeed in life, and such men may not at all look back with any lingering regret on enjoyments they are going to leave behind, whether their harvest had been actually reaped by them or not. There is even some incon­sistency in the ring of regret running through these stanzas. But the poet is here more concerned with dramatic effect than psycho­logical precision.]
",175
48,"				वयं येभ्यो जाताश्चिरपरिचिता एव खलु ते
					समं यै: संवृद्धा: स्मृतिविषयतां तेऽपि गमिता: ।
				इदानीमेते स्म: प्रतिदिवसमासन्नपतना
					गतास्तुल्यावस्थां सिकतिलनदीतीरतरुभि: ।।४८।।
			48. Those from whom we were born, well, they are now on intimate footing with Eternity (long dead); those with whom we were brought up have also become objects of memory. Now (that we have become old) we are ap­proaching nearer to our fall day by day, our condition being comparable to that of trees on the sandy bank of a river.
			[चिरपरिचिता:—a simpler reading is चिरपरिगता:]",170
49,"				आयुर्वर्षशतं नृणां परिमितं रात्रौ तदर्धं गतं
					तस्यार्धस्य परस्य चार्धमपरं बालत्ववृद्धत्वयो: ।
				शेषं व्याधिवियोगदु:खसहितं सेवादिभिर्नीयते
					जीवे वारितरङ्गचञ्चलतरे सौख्यं कुत: प्राणिनाम् ।।४९।।
			49. The life of man (as ordained) is limited to one hundred years; half of it is spent in night, and out of the other half one half again is passed in childhood and old age; and the rest which has its illness, bereavements, and troubles is spent in serving (others). What happiness can there be for mortals in a life (again) which is even more uncertain than the ripples (on the surface) of water?",200
50,"                                क्षणं बालो भूत्वा क्षणमपि युवा कामरसिक:
                                        क्षणं वित्तैर्हीन: क्षणमपि च संपूर्णविभव: ।
                                जराजीर्णैरङ्गैर्नट इव वलीमण्डिततनु-
                                        र्नर: संसारान्ते विशति यमधानीयवनिकाम् ।।५०।।
                        50. Now a child for a while and then a youth of erotic ways, a destitute now for a while and then very wealthy, just like an actor, man makes at the end of his role—when diseased in all limbs by age and wrinkled all over the body—his exit behind the scene that veils the abode of Yama (death).",235
51,"				त्वं राजा वयमप्युपासित­गुरुप्रज्ञाभिमानोन्नता:
					ख्यातस्त्वं विभवैर्यशांसि कवयो दिक्षु प्रतन्वन्ति न: ।
				इत्थं मानधनातिदूरमुभयोरप्यावयोरन्तरं
					यद्यस्मासु पराङ्मुखोऽसि वयमप्येकान्ततो नि:स्पृहा: ।।५१।।
			51. Thou art a king; we too are elevated through self-assurance about our wisdom acquired from our preceptor whom we served. Thou art celebrated through thy possessions; our fame is spread abroad in all quarters by learned men. Thus a great difference there is between us both, made by honour and riches. If thou art cold towards us, we too are perfectly indifferent towards thee.
[The śloka is addressed by a yati (one who has renounced the world) to a king. The yati wants to inform the king of the vanity of his possessions, and so is declaring that a yati is greater than the king. For the king is rich in wealth only, but he is rich in wisdom which should command even the respect of a king.
			For मानधनातिदूरं another reading is मानद नातिदूरं which may be rendered thus—`not much difference, O proud (king)’.]",163
52,"				अर्थानामीशिषे त्वं वयमपि च गिरामीश्महे यावदर्थं
					शूरस्त्वं वादिदर्पव्युपशमनविधावक्षयं पाटवं न: ।
				सेवन्ते त्वां धनाढ्या मतिमलहतये मामपि श्रोतुकामा
					मय्यप्यास्था न ते चेत्त्वयि मम नितरामेव राजन्ननास्था ।।५२।।
			52. Thou exercisest kingly power over riches, we do the same over words (i.e., ideas or scriptures) in all their senses. Thou art a hero (in battle), while we have never-failing skill in methods of subduing the pride of disputants. It is the rich who serve thee, while, intent on learning (higher truths), men serve us to have all imperfections of mind destroyed. If thou hast no regard for me, well, O king, I have absolutely none for thee.
",166
53,"				वयमिह परितुष्टा वल्कलैस्त्वं दुकूलै:
					सम इव परितोषो निविर्शेषो विशेष: ।
				स तु भवतु दरिद्रो यस्य तृष्णा विशाला
					मनसि च परितुष्टे कोऽर्थवान्को दरिद्र: ।।५३।।
			53. Here we are satisfied with the bark of trees and thou with rich garments; (and yet) our contentment is alike, (so) the distinction makes no difference. Poor indeed is he whose desires are boundless. If the mind be contended, who is rich and who poor?
			[One who is satisfied with what little he possesses is as good as the rich.]",177
54,"				फलमलमशनाय स्वादु पानाय तोयं
		क्षितिरपि शयनार्थं वाससे वल्कलं च ।
				नवधनमधुपानभ्रान्तसर्वेन्द्रियाणा-
					मविनयमनुमन्तुं नोत्सहे दुर्जनानाम् ।।५४।।
			54. Fruits for food, tasteful water for drink, bare ground to lie upon, barks of trees for clothing, are sufficient (for us). I cannot bring myself to approve of the misbehaviour of evil men whose senses are led astray by drinking the wine of newly acquired wealth.",161
55,"                                        अशीमहि वयं भिक्षामाशावासो वसीमहि ।
                                        शयीमहि महीपृष्ठे कुर्वीमहि किमीश्वरै: ।।५५।।
                        55. Let us eat the food we have begged; let the sky be our clothing; let us lie down on the surface of the earth; what have we to do with the rich?
                        [आशा—the four quarters.]",210
56,"                                        न नटा न विटा न गायका
                                                न च सभ्येतरवादचुञ्चव: ।
                                        नृपमीक्षितुमत्र के वयं 
                                                स्तनभारानमिता न योषित: ।।५६।।
                        56. Who are we to go to see a king—not dancers, court-jesters, or singers, nor experts in (learned) disputes with others in a court, nor youthful court mistresses! (That is, we have absolutely no business to go to a king.)
                        [The विट is generally a parasite of a prince.]",165
57,"				विपुलहृदयैरीशैरेतज्जगज्जनितं पुरा
					विधृतमपरैर्दत्तं चान्यैविर्जित्य तृणं यथा ।
				इह हि भुवनान्यन्ये धीराश्चतुर्दश भुञ्जते
					कतिपयपुरस्वाम्ये पुंसां क एष मदज्वर: ।।५७।।
			57. In ancient times (the kingdom of) this world was created by some large-hearted monarchs; by some was it sustained (i.e., ruled) and by others was it conquered and given away like straw. Even now, some heroes enjoy the fourteen divisions of the world. For what then is this feverish pride of men having sovereignty over a few towns only?
			[चतुर्दश भुवनानि—The fourteen divisions of the world, that is, the entire created universe.]",162
58,"				अभुक्तायां यस्यां क्षणमपि न जातं नृपशतै-
					र्भुवस्तस्या लाभे क इव बहुमान: क्षितिभृताम् । 
				तदंशस्याप्यंशे तदवयवलेशेऽपि पतयो
					विषादे कर्तव्ये विदधति जडा: प्रत्युत मुदम् ।।५८।।
			58. What high dignity, alas, is there for kings in gaining that earth which has never for a moment been left unenjoyed by hundreds of rulers! The stupid owners of even a shred of the limb of a fraction of its fraction (i.e., of the most minute particle) feel delighted, whereas, on the contrary, they ought to grieve!",164
59,"				मृत्पिण्डो जलरेखया वलयित: सर्वोऽप्ययं नन्वणु:
					स्वांशीकृत्य तमेव संगरशतै राज्ञां गणा भुञ्जते ।
				ते दद्युर्ददतोऽथवा किमपरं क्षुद्रा दरिद्रा भृशं
					धिग्धिक्तान्पुरुषाधमान्धनकणान् वाञ्छन्ति तेभ्योऽपि ये ।।५९।।
			59. It (the earth) is but a lump of clay circled by a ring of water! Even the whole of it is but a particle. Hosts of kings, having partitioned it after fighting hundreds of battles, enjoy it. What is so strange if these very poor insignificant persons may or do give (some parts of it)? But downright shame on those mean fellows who would beg bits of coin from even them !
			[May or do give—to indulge in a bit of self-gratification.]",304
60,"				स जात: कोऽप्यासीन्मदनरिपुणा मूधि्र्न धवलं
						कपालं यस्योच्यैविर्निहितमलंकार­विधये ।
				नृभि: प्राणत्राणप्रवणमतिभि: कैश्चिदधुना
						नमद्भि: क: पुंसामयमतुलदर्पज्वरभर: ।।६०।।
			60. That man is indeed born (truly great) whose white skull (after death) is placed by (Śiva) the enemy of Madana (Cupid) high on the head as an ornament; (and) what is (worth) this rising fever of exceeding pride in men, who are nowadays adored by some people with minds intent on the preservation of their lives!
			[The great Śiva is called Kapālī; Kapāla meaning ‘skull’. The popular belief is that He puts on His head the skull of a hero whose wonderful life lived on earth merits this distinction.]",338
61,"				परेषां चेतांसि प्रतिदिवसमाराध्य बहुधा
					प्रसादं किं नेतुं विशसि हृदय क्लेशकलितम् ।
				प्रसन्ने त्वय्यन्त: स्वयमुदितचिन्तामणिगणो
					विविक्त: संकल्प: किमभिलषितं पुष्यति न ते ।।६१।।
			61. Why, O heart, dost thou set thyself on winning good graces, so hard to secure, by daily propitiating other men’s minds in various ways? When, being serene inwardly and free from society, thou hast gems of thought rising up of themselves (i.e., when desires do not induce your thinking), what objects mere wish (even) would not bring to thee?
			[The idea would come out more clearly, if we read, as many have done, क्लेशकलिलं and चिन्तामणिगुण:; the first expression would then mean ‘a (chaotic) mass of troubles’ instead of ‘hard to secure’, and the verb विशसि would have its primary sense of ‘entering into’. स्वयमुदितचिन्तामणिगुण: would then mean ‘having the virtue of a philosopher’s stone developed of itself in thee’—i.e., प्राप्ति:, one of the eight yogic powers. विविक्त: we prefer to render as ‘free from the company of others’—a state opposed to what is implied when we have to depend on others for gratifying our desires.]",167
62,"				परिभ्रमसि किं मुधा क्वचन चित्त विश्राम्यतां
					स्वयं भवति यद्यथा भवति तत्तथा नान्यथा ।
				अतीतमननुस्मरन्नपि च भाव्यसंकल्पय-
					न्नतकिर्तसमागमाननुभवामि भोगानहम् ।।६२।।
			62. Why dost thou, my mind, wander about in vain? Rest (thyself) somewhere. Whatever happens in a particular way, happens so by itself, and not otherwise. So not thinking over the past, nor resolving about the future, I realize enjoyments that come without engaging my thoughts.",267
63,"				एतस्माद्विरमेन्द्रियार्थ­गहनादायासकादाश्रय
					श्रेयोमार्गमशेषदु:खशमनव्यापारदक्षं क्षणात् ।
				स्वात्मीभावमुपैहि संत्यज निजां कल्लोललोलां गतिं
					मा भूयो भज भङ्गुरां भवरतिं चेत: प्रसीदाधुना ।।६३।।
			63. Desist, O heart, from the troublesome labyrinth of sense-objects; take the path of (highest) good which is capable of bringing about in a moment the destruction of endless troubles; get thee to the state of thy Ātman; give up thy stream-like agitated flux; be calm now and never again seek transient worldly attachments.",180
64,"				मोहं मार्जय तामुपार्जय रतिं चन्द्रार्धचूडामणौ
					चेत: स्वर्गतरङ्गिणीतट­भुवामासङ्गमङ्गीकुरु ।
				को वा वीचिषु बुद्बुदेषु च तडिल्लेखासु च श्रीषु च
					ज्वालाग्रेषु च पन्नगेषु च सुहृद्वर्गेषु च प्रत्यय: ।।६४।।
			64. Clear off delusion and earn devotion to Him whose crown is begemmed with the crescent. Oh my mind, accept attachment to some spot on the banks of the celestial river (Gaṅgā). What reliability is there on waves or bubbles, flashes of lightning or (smiles of) fortune, in tongues of flame, serpents, or hosts of friends?",182
65,"				चेतश्चिन्तय मा रमां सकृदिमामस्थायिनीमास्थया
					भूपालभ्रुकुटीकुटीविहरणव्यापार­पण्याङ्गनाम् ।
				कन्थाकञ्चुकिन: प्रविश्य भवनद्वाराणि वाराणसी—
					रथ्यापङ्क्तिषु पाणिपात्रपतितां भिक्षामपेक्षामहे ।।६५।।
			65. O my mind, never for a while earnestly think of the frail goddess of fortune, whose business is to sell herself away while moving in her haunt, namely, the wrinkle of a king’s brow (i.e., the bargain is struck by the smile or the frown of kings). Let us clothe ourselves in ragged garments,  and entering the doors of houses in the streets of Vārānasi, wait for the alms to be placed in the receptacle of our hands.",245
66,"				अग्रे गीतं सरसकवय: पार्श्वयोर्दाक्षिणात्या:
					पश्चाल्लीलावलयरणितं चामरग्राहिणीनाम् ।
				यद्यस्त्वेवं कुरु भवरसास्वादने लम्पटत्वं
					नो चेच्चेत: प्रविश सहसा निविर्कल्पे समाधौ ।।६६।।
			66. If there are songs (going on) before you, sweet (skilful) poets from the South by your side and the tinkling of the moving bracelets of female waiters with waving chowries in their hands, then lavishly attach thyself to the enjoyment of worldly happiness. If otherwise, O my mind, then plunge into the absolute type of meditation.
			[निविर्कल्प समाधि—the deepest concentration losing all sepa­rate consciousness of the knower, the known, and the knowing. चामर is the bushy tail of a yak used as a fan, being one of the insignia of royalty.
			The argument in this śloka is that if you can find only enjoyment everywhere, you may enjoy, but really such enjoyment cannot be found in this world of misery. All worldly pleasures are transient and limited. For in the next śloka we find that the author is preaching the uselessness of the fulfilment of worldly desires.]",183
67,"            	प्राप्ता: श्रिय: सकलकामदुघास्तत: किं
					न्यस्तं पदं शिरसि विद्विषतां तत: किम् ।
				संपादिता: प्रणयिनो विभवैस्तत: किं
					कल्पस्थितास्तनुभृतां तनवस्तत: किम् ।।६७।।
			67. Though embodied beings may obtain that pros­perity from which all desires are milked, what then? What if their feet be placed on the heads of their enemies? Or what if their wealth brings friends, or if their bodies endure till the end of the creative cycle?",186
68,"				भक्तिर्भवे मरणजन्मभयं हृदिस्थं
					स्नेहो न बन्धुषु न मन्मथजा विकारा: ।
				संसर्गदोषरहिता विजना वनान्ता
					वैराग्यमस्ति किमित: परमर्थनीयम् ।।६८।।
			68. When there is devotion for Śiva, as also fear of birth and death in the heart, no attachment for family, no excitement of sexual passions—when there is the solitude of forest depths unsullied by the company (of worldly men), and there is renunciation—what better, then, is to be wished for?",187
69,"				तस्मादनन्तमजरं परमं विकासि
					तद्ब्रह्म चिन्तय किमेभिरसद्विकल्पै: ।
				यस्यानुषङ्गिण इमे भुवनाधिपत्य-
					भोगादय: कृपणलोकमता भवन्ति ।।६९।।
			69. What avails all this agitating over the unreal? Meditate, therefore, on that supreme, infinite, ageless, effulgent Brahman, in the light of which all such enjoyments as the sovereignty of the world appear as the desires of pitiable men!",188
70,"				पातालमाविशसि यासि नभो विलङ्घ्य
		दिङ्मण्डलं भ्रमसि मानस चापलेन ।
				भ्रान्त्यापि जातु विमलं कथमात्मनीनं
					न ब्रह्म संस्मरसि निर्वृतिमेषि येन ।।७०।।
			70. Being thus agitated, O mind, thou (now) descendest into the nether regions, (now) soarest up beyond the skies, and wanderest all around the four quarters. Why, even by mistake, thou dost not once concentrate on that Brahman, of the nature of Self and bereft of all imperfections, whereby you may attain supreme bliss!
			[आत्मनीनम् —means ‘belonging to Self,’  as the real state of Self is Brahman. The other reading, आत्मलीनम्, would mean, ‘submerged in Self,’ being its substance or reality.]",189
71,"				किं वेदै: स्मृतिभि: पुराणपठनै: शास्त्रैर्महाविस्तरै:
					स्वर्गग्रामकुटीनिवासफलदै: कर्मक्रियाविभ्रमै: ।
				मुक्त्वैकं भवदु:खभाररचना­विध्वंसकालानलं
					स्वात्मानन्दपदप्रवेशकलनं शेषैर्वणिग्वृत्तिभि: ।।७१।।
			71. What are worth the Vedas, the Smṛtis, the readings from the Purānas, the vast śāstras, or the mazes of ceremonials, which give us, as their fruits, a resting-place in heaven, (which is, as it were,) a village (interspersed) with huts! All else is but the bargaining of traders except that one way which admits one into the state of supreme bliss in one’s Self, and which is like the (final) destructive fire to consume the evolving mass of worldly miseries.
			[The śāstras, by which are meant here logic, grammar, etc., and the six systems of philosophy, are said to be vast because of the amplitude of comment, illustration, and argument with which their doctrines have been developed.]",191
72,"				यतो मेरु: श्रीमान्निपतति युगान्ताग्निवलित:
					समुद्रा: शुष्यन्ति प्रचुरमकरग्राहनिलया: ।
				धरा गच्छत्यन्तं धरणिधरपादैरपि धृता
					शरीरे का वार्ता करिकलभकर्णाग्रचपले ।।७२।।
			72. Seeing that, when set all over with the fires of cyclic destruction the stately mountain Meru topples down, the seas which are the abode of numerous sharks and aquatic animals are dried up, and the earth (itself) comes to an end, though held firm by the feet of mountains, what to speak of this body, which is as unsteady as the tip of the ear of a young elephant!
			[धरणिधर—According to Hindu mythology the mountains are regarded as the supporters of the earth.
			युगान्ताग्नि—The cosmic conflagration at the end of a cycle.]",306
73,"				गात्रं संकुचितं गतिविर्गलिता भ्रष्टा च दन्तावलि-
					र्दृष्टिर्नश्यति वर्धते बधिरता वक्त्रं च लालायते ।
				वाक्यं नाद्रियते च बान्धवजनो भार्या न शुश्रूषते
					हा कष्टं पुरुषस्य जीर्णवयस: पुत्रोऽप्यमित्रायते ।।७३।।
			73. (In old age) the body becomes shrivelled, the gait becomes unsteady, the teeth fall out, the eye-sight is lost, deafness increases, the mouth slavers, relatives do not value (one’s) words, the wife does not nurse, and even the son turns hostile. Oh, the misery of a man of worn-out age!",242
74,"				वर्णं सितं झटिति वीक्ष्य शिरोरुहाणां
					स्थानं जरापरिभवस्य तदा पुमांसम् ।
				आरोपितास्थिशतकं परिहृत्य यान्ति
					चण्डालकूपमिव दूरतरं तरुण्य: ।।७४।।
			74. Seeing the grey hairs on the head of a man, emblematic of discomfiture by old age, youthful women at once fly away from him, as if from a Chandāla’s (the untouchable in caste) well whereon is placed a structure of bones!
			[आरोपितास्थिशतकं—May be taken to qualify पुमांसम् or कूपम्. If it be taken to qualify the former, it would mean: this framework of bones (meaning the old man).
            It was a custom in former times with the Chandālas to line their well with bones for ornamentation.]",323
75,"				यावत्स्वस्थमिदं शरीरमरुजं यावज्जरा दूरतो
					यावच्चेन्द्रियशक्तिरप्रतिहता यावत्क्षयो नायुष: ।
				आत्मश्रेयसि तावदेव विदुषा कार्य: प्रयत्नो महान्
					संदीप्ते भवने तु कूपखननं प्रत्युद्यम: कीदृश: ।।७५।।
			75. As long as this body is free from disease and decrepitude, as long as senility is far off, as long as the powers of the senses are unaffected and life is not decaying, so long, wise persons should put forth mighty exertions for the sake of their supreme good, for when the house is on fire what avails setting about digging a well (for water)?",194
76,"				तपस्यन्त: सन्त: किमधिनिवसाम: सुरनदीं
					गुणोदारान्दारानुत परिचराम: सविनयम् ।
				पिबाम: शास्त्रौघानुत विविधकाव्यामृतरसा-
					न्न विद्म: किं कुर्म: कतिपयनिमेषायुषि जने ।।७६।।
			76. Shall we live by the celestial river practising austerities, or shall we amiably serve (our) wives graced by virtues? Shall we drink of the currents of scriptural literature, or of the nectar of diverse poetical literature? Man having the longevity of a few twinklings of the eye, we do not know which (of these) to undertake!",172
77,"				दुराराध्याश्चामी तुरगचलचित्ता: क्षितिभुजो
					वयं च स्थूलेच्छा: सुमहति फले बद्धमनस: ।
				जरा देहं मृत्युर्हरति दयितं जीवितमिदं
					सखे नान्यच्छ्रेयो जगति विदुषोऽन्यत्र तपस: ।।७७।।
			77. These rulers of the world have minds restless like a horse and (therefore) are difficult to please, while we are ambitious with minds pitched on vast gain; age steals away bodily strength and death cuts short this dear life. Ah! friend, nothing is good for the wise in this world excepting the practice of austerities!",258
78,"				माने म्लायिनि खण्डिते च वसुनि व्यर्थे प्रयातेऽथिर्नि
					क्षीणे बन्धुजने गते परिजने नष्टे शनैर्यौवने ।
				युक्तं केवलमेतदेव सुधियां यज्जह्नुकन्यापय:-
					पूतग्रावगिरीन्द्रकन्दरतटीकुञ्जे निवास: क्वचित् ।।७८।।
			78. When honour has faded, wealth has become ruined, those who sue for favours have departed in disap­pointment, friends have dwindled away, retainers have left, and youth has gradually decayed, there remains only one thing proper for the wise—residence somewhere in a grove on the side of a valley of the Himalayas whose rocks are purified by the waters of the Gaṅgā.
			[जह्नुकन्या—The Gaṅgā is so called on account of the myth that ṛṣi Jahnu drank it up and then disgorged it through his ear or thigh, when in its course towards the Bay of Bengal after its descent from the heavens it overflowed the sacrificial platform of the ṛṣi. Examination of the traditional place where the ṛṣi is supposed to have lived in ancient times, suggests the likelihood of the course of the river being obstructed by an extensive eminence with pervious soil and of its delayed emergence on the other side.]",303
79,"				रम्याश्चन्द्रमरीचयस्तृणवती रम्या वनान्त:स्थली
					रम्यं साधुसमागमागतसुखं काव्येषु रम्या: कथा: ।
				कोपोपाहितबाष्पबिन्दुतरलं रम्यं प्रियाया मुखं
					सर्वं रम्यमनित्यतामुपगते चित्ते न किञ्चित्पुन: ।।७९।।
			79. Delightful are the rays of the moon, delightful the grassy plots in the outskirts of the forest, delightful are the pleasure of wise men’s society, delightful the narratives in poetical literature, and delightful the face of the beloved swimming in the tear-drops of (feigned) anger. Everything is charming, but nothing is so when the mind is possessed by the evanescence of things.",193
80,"                                रम्यं हर्म्यतलं न किं वसतये श्रव्यं न गेयादिकं
                                        किं वा प्राणसमासमागमसुखं नैवाधिकप्रीतये ।
                                किंतु भ्रान्तपतङ्गपक्षपवनव्यालोल­दीपाङ्कुर-
                                        च्छायाचञ्चलमाकलय्य सकलं सन्तो वनान्तं गता: ।।८०।।
                        80. Is not a palace pleasant to dwell in? Is not music with its accompaniments agreeable to listen to? Is not the society of women, dear as life itself, very pleasing? Yet, wise men have gone away to the forest, regarding these things as  unstable as the shadow of a lamp’s flame flickering through the puff of the wings of a deluded moth.
                        [ भ्रान्त also means ‘hovering’.]",315
81,"				आसंसारात्त्रिभुवनमिदं चिन्वतां तात तादृ-
					ङ्नैवास्माकं नयनपदवीं श्रोत्रमार्गं गतो वा ।
				योऽयं धत्ते विषयकरिणीगाढगूढाभिमान-
					क्षीबस्यान्त:करणकरिण: संयमानायलीलाम् ।।८१।।
			81. Oh dear! In our quest through the three worlds from the very beginning of their creation, none such has come within sight or hearing, that can play the part of a controlling trap for the elephant of his mind when maddened by the mysterious, deep-rooted infatuation for the female elephant of sense-object.			
			[आनाय is an elephant-trap. Another reading is आलान which means ‘a tying post for an elephant’.
			क्षीबस्य—‘of the maddened’.]",176
82,"				यदेतत्स्वच्छन्दं विहरणमकार्पण्यमशनं
					सहार्यै: संवास: श्रुतमुपशमैकव्रतफलम् ।
				मनो मन्दस्पन्दं बहिरपि चिरस्यापि विमृश-
					न्न जाने कस्यैषा परिणतिरुदारस्य तपस: ।।८२।।
			82. This freedom to wander about, this food to which no meanness attaches, the company of holy men, the cultivation of Vedic wisdom, of which (unlike other vows) the only fruit is spiritual peace, the mind also restrained in its movements towards external things—to such a consummation, I know not after lifelong reflection, what noble austerities may lead!
			[उपशम is the cessation of the illusions, and so of the worries, of the world. This is said to be the only fruit borne by the pursuit of this vow, namely, श्रुतम् or study of Vedic wisdom, other vows being ordained to bear fruits in the form of worldly prosperity.]",308
